Training started: 30000 episodes
Learning rate: 0.001, Gamma: 0.99, Beta range: (0.1, 0.02)
--------------------------------------------------------------------------------
Episode 9200/30000 | return = -1.160 | loss = -9.943704 | len = 9
Episode 9250/30000 | return = -1.060 | loss = -12.678583 | len = 4
Episode 9300/30000 | return = 4.920 | loss = 0.035825 | len = 5
Episode 9350/30000 | return = 4.900 | loss = 0.155797 | len = 6
Episode 9400/30000 | return = -1.600 | loss = -62.318497 | len = 31
Episode 9450/30000 | return = -1.200 | loss = -7.882600 | len = 11
Episode 9500/30000 | return = 4.880 | loss = 0.839695 | len = 7
Episode 9550/30000 | return = 4.900 | loss = 0.187342 | len = 6
Episode 9600/30000 | return = 4.860 | loss = 4.512104 | len = 8
Episode 9650/30000 | return = -1.520 | loss = -74.979286 | len = 27
Episode 9700/30000 | return = -1.460 | loss = -55.175365 | len = 24
Episode 9750/30000 | return = -1.720 | loss = -81.394821 | len = 37
Episode 9800/30000 | return = 4.840 | loss = 7.449553 | len = 9
Episode 9850/30000 | return = -1.100 | loss = -15.741586 | len = 6
Episode 9900/30000 | return = -1.080 | loss = -6.597413 | len = 5
Episode 9950/30000 | return = -1.060 | loss = -4.677629 | len = 4
Episode 10000/30000 | return = -1.500 | loss = -36.432583 | len = 26
Episode 10050/30000 | return = -1.040 | loss = -8.871806 | len = 3
Episode 10100/30000 | return = 4.900 | loss = 2.591763 | len = 6
Episode 10150/30000 | return = -1.020 | loss = -3.461840 | len = 2
Episode 10200/30000 | return = 4.880 | loss = 6.816256 | len = 7
Episode 10250/30000 | return = -1.080 | loss = -4.326406 | len = 5
Episode 10300/30000 | return = 4.840 | loss = 15.429588 | len = 9
Episode 10350/30000 | return = -1.080 | loss = -16.367434 | len = 5
Episode 10400/30000 | return = -1.060 | loss = -4.938189 | len = 4
Episode 10450/30000 | return = -1.080 | loss = -4.314497 | len = 5
Episode 10500/30000 | return = -1.100 | loss = -18.880022 | len = 6
Episode 10550/30000 | return = 4.900 | loss = 1.769796 | len = 6
Episode 10600/30000 | return = -1.320 | loss = -53.038342 | len = 17
Episode 10650/30000 | return = -1.560 | loss = -85.724556 | len = 29
Episode 10700/30000 | return = -1.040 | loss = -14.020309 | len = 3
Episode 10750/30000 | return = -1.060 | loss = -6.227647 | len = 4
Episode 10800/30000 | return = 4.920 | loss = 0.128167 | len = 5
Episode 10850/30000 | return = -1.080 | loss = -6.594578 | len = 5
Episode 10900/30000 | return = 4.860 | loss = 2.014354 | len = 8
Episode 10950/30000 | return = -1.060 | loss = -10.610061 | len = 4
Episode 11000/30000 | return = 4.880 | loss = 4.932202 | len = 7
Episode 11050/30000 | return = -1.020 | loss = -2.370705 | len = 2
Episode 11100/30000 | return = -1.080 | loss = -2.668802 | len = 5
Episode 11150/30000 | return = -1.020 | loss = -2.270338 | len = 2
Episode 11200/30000 | return = -1.020 | loss = -1.432520 | len = 2
Episode 11250/30000 | return = -1.040 | loss = -13.792068 | len = 3
Episode 11300/30000 | return = 4.900 | loss = 1.000229 | len = 6
